OBJECTID,CSA2010,mhhi10,mhhi11,mhhi12,mhhi13,mhhi14,mhhi15,mhhi16,mhhi17,mhhi18,mhhi19,CSA2020,mhhi20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,33563.12,33504.32412,33177.65891,38129.07331,35958.25335,36701.90674,37302.17105,39495.62847,38535.56218,43019.75792,Allendale/Irvington/S. Hilton,42714.60327,63770461.78,38770.16557
2,Beechfield/Ten Hills/West Hills,50780.92,50439.73951,50135.12162,49807.86176,52622.68852,51537.58208,53565.0797,57572.50275,58055.30661,55017.77971,Beechfield/Ten Hills/West Hills,55435.50291,47882527.71,37524.95053
3,Belair-Edison,42920.83,45149.37251,46743.28185,43903.90134,38905.9242,38173.96825,40482.35965,39624.48208,42633.61951,46703.93468,Belair-Edison,50010.43737,44950030.47,31307.31484
4,Brooklyn/Curtis Bay/Hawkins Point,32888.5,33644.05219,33526.36465,34419.96525,35861.89655,36679.05344,38603.93023,40275.27533,39936.5125,39162.13858,Brooklyn/Curtis Bay/Hawkins Point,32598.81788,176077742.7,150987.7036
5,Canton,74685.14,82129.56917,84978.14163,90862.71292,91735.65274,95362.40031,103281.8322,111891.2518,116911.0882,128460.4821,Canton,134208.7611,15408538.22,23338.61195
6,Cedonia/Frankford,38969.08,39144.10966,39556.11507,38117.93299,39306.14307,39300.35503,39807.03213,41625.59169,44159.54528,47258.03394,Cedonia/Frankford,51097.82835,71541340.31,39962.54983
7,Cherry Hill,18602.22,21038.25385,22980.53585,23918.70763,22658.55909,22403.36538,23585.14141,24250.97445,25132.32647,26654.08088,Cherry Hill,24762.08057,29144181.35,22305.30207
8,Chinquapin Park/Belvedere,44659.56,44853.39806,42852.96465,47600.4899,44252.62153,45454.45455,48622.46377,54249.575,55713.71429,57082.625,Chinquapin Park/Belvedere,59616.52459,21022590.13,21705.41163
9,Claremont/Armistead,33236.03,30918.42093,31970.50529,32827.82415,34034.14742,33179.51103,33108.23432,34792.61927,34885.38636,35245.61561,Orchard Ridge/Armistead,40449.70084,61243774.42,40104.41598
10,Clifton-Berea,26147.87,26431.67563,24883.9335,25586.83913,25737.94762,29364.20635,29828.57955,32288.6988,31291.13245,34652.24855,Clifton-Berea,39619.076,23285233.93,24022.76462
11,Cross-Country/Cheswolde,56275.65,52728.22177,55840.22309,54641.64105,54867.93421,55964.31579,58882.09043,56167.0479,55673.58989,58843.73705,Cross-Country/Cheswolde,63371.33486,38222018.32,26788.30188
12,Dickeyville/Franklintown,33707,33433,32487,31701,32768,35773.04124,39124.175,41463.12195,37847.53165,44530.34375,Dickeyville/Franklintown,45807.76524,35719112.41,31637.81742
13,Dorchester/Ashburton,41474.06,37945.06304,36715.13808,36856.77143,36870.31552,38682.89159,44053.59326,43640.57609,45497.34949,49651.24348,Dorchester/Ashburton,55345.78571,34118277.18,27136.07571
14,Downtown/Seton Hill,33873.68,38145.62925,41365.84699,40685.83841,44819.39521,46132.86691,47654.83616,53762.87456,57516.73077,61734.57823,Downtown/Seton Hill,59158.50435,20736554.41,21565.85939
15,Edmondson Village,40121.75,38078.20197,37537.56345,36245.30249,36647.71508,38042.37783,39102.05024,41642.11337,43809.81057,43626.5067,Edmondson Village,44911.29825,23563061.04,21504.55136
16,Fells Point,64113.16,69105.13708,73083.923,73801.49919,77433.37605,82263.22297,87653.81481,91207.16696,98981.91006,98991.80888,Fells Point,97869.61329,12620515.72,27670.16992
17,Forest Park/Walbrook,36858.6,37140.7201,36737.1525,37351.85021,37160.58475,39204.76636,40478.62766,42499.5,44764.30516,44664.01546,Forest Park/Walbrook,48992.13428,37200535.03,36886.89978
18,Glen-Fallstaff,35785.18,37372.32387,37344.66372,40718.88274,39694.18293,39690.75067,39313.54155,40869.826,42439.08912,40970.27004,Glen-Fallstaff,44228.12617,46995477.48,48549.00462
19,Greater Charles Village/Barclay,31658.96,30130.78779,28899.22,30011.13363,30845.24155,32241.13822,34641.92857,39097.21961,42852.48282,46334.96023,Greater Charles Village/Barclay,45797.71277,27051213.46,26454.26921
20,Greater Govans,36069.82,34075.27174,38396.19663,34578.52336,36530.70155,37457.31435,39829.034,41249.75,42666.78937,42173.47826,Greater Govans,43781.9232,22698495.72,22982.12571
21,Greater Mondawmin,37034.48,35203.44767,38912.26087,38014.54848,38655.1828,35968.39267,35968.39267,37254.45098,36968.78425,33663.38931,Greater Mondawmin,40488.62406,33663448.28,31136.73189
22,Greater Roland Park/Poplar Hill,96854.47,112701.7573,107668.133,106770.5625,104481.8924,105555.3333,107924.5196,113496.1379,117951.4096,120733.2976,Greater Roland Park/Poplar Hill,125868.9492,56688145.18,39862.7498
23,Greater Rosemont,28810.39,26682.88631,26892.76121,27625.9628,30864.86322,31759.05892,32116.65405,35055.40764,36379.76645,37165.46544,Greater Rosemont,37490.01423,42204384.54,32559.07622
24,Greenmount East,23055.99,23177.93571,21224.50253,24358.63223,23276.90354,23625.75692,25376.76287,26563.26117,27320.21097,29522.90476,Oliver/Johnson Square,32207.89167,19072287.82,20797.47346
25,Hamilton,52678.3,57951.01205,59540.33028,65436.87306,63986.00242,63600.22009,61446.60406,65130.49907,71690.86938,70365.80105,Hamilton,72534.87857,45191100.56,27712.11109
26,Harbor East/Little Italy,29475.3,30550.73729,30283.27667,31547.30952,36578.63158,39573.55319,44641.92857,46666.33333,44087.02027,38087.61765,Harbor East/Little Italy,61235.21176,10215859.08,18552.40758
27,Harford/Echodale,51797.31,51208.28546,53957.9375,56066.67865,54085.6129,52708.0625,54464.96226,55808.70389,56655.77607,57933.98913,Hamilton Hills,61434.16733,65360039.17,40019.1854
28,Highlandtown,59209.61,60483.83871,63801.47069,70098.33663,71660.18151,68702.25,74875.55144,82652.13293,88324.00528,94258.48889,Highlandtown,99549.14653,11684191.12,14976.12385
29,Howard Park/West Arlington,38218.31,37312.18384,37094.581,37521.12197,39467.85625,41821.9247,50516.7081,53318.25221,54999.5,53534.12931,Howard Park/West Arlington,50991.5501,63262430.07,36034.49845
30,Inner Harbor/Federal Hill,77887.97,78577.8106,83496.49557,83784.37083,88854.2146,88465.20481,94380.11306,98763.46458,100932.2306,103720.0893,Inner Harbor/Federal Hill,104058.2792,24995836.26,43415.05955
31,Lauraville,56061.17,58085.61111,57895.04375,60800.12749,66195.70761,66010.87744,65353.72031,67320.37182,69536.56142,74759.45823,Greater Lauraville,70883.17942,49665744.24,34419.67653
32,Loch Raven,47093.12,49748.45346,46721.87778,47124.03863,47992.10219,47461.85693,49447.63971,52079.98066,52078.04421,51927.26839,Loch Raven,55191.38952,44147812.33,29314.33467
33,Madison/East End,33352.13,32145.40417,29695.48929,30859.828,27454.05455,26136.13636,29439.41045,29975.85648,33528.70588,37328.30137,Madison/East End,37302.91011,8897845.192,13120.15872
34,Medfield/Hampden/Woodberry/Remington,49203.99,54277.58944,55999.4,60103.88462,58210,58644.17366,61047.96507,65098.54759,68526.00161,74713.89504,Hampden/Remington,72756.88144,62441489.24,43152.6257
35,Midtown,35393.86,38331.07361,36750.98663,36069.65502,38866.80074,41170.46073,44186.15447,47406.39542,52477.22973,53663.69609,Midtown,58809.76982,23823949.93,25020.09697
36,Midway/Coldstream,32544.13,30469.76418,30821.90766,34227.26498,34522.90476,30685.04815,29759.32192,35273.38281,34520.05389,29878.05645,Midway/Coldstream,35897.87864,17884471.29,22767.82742
37,Morrell Park/Violetville,40645.03,44739.15099,43529.59697,42176.5309,38209.58523,35687.3625,37380.47619,40950.89674,42993.03185,45124.975,Morrell Park/Violetville,43842.76871,67470845.99,44412.74513
38,Mount Washington/Coldspring,79126.82,76574.01111,85405.67513,73984.91667,76262.57576,77390.18652,77317.78808,79992.61638,84848.09091,83989.36644,Mount Washington/Coldspring,86714.77803,56943058.65,38539.76615
39,North Baltimore/Guilford/Homeland,73588.38,80903.82288,78921.41176,74276.5711,81450.63482,78174.8286,83786.96194,90704.5,98094.85294,101785.6429,North Baltimore/Guilford/Homeland,114246.7419,74923987.69,42904.22214
40,Northwood,54758.78,55064.67039,56023.7878,57690.64617,58265.649,53974.25691,51742.82824,55416.125,56197.20236,56293.13014,Northwood,56756.57065,52743271.77,38889.89459
41,Oldtown/Middle East,15415.45,13765.72505,13478.16452,13886.63387,14105.43904,14417.90605,15467.82086,19127.37949,19374.125,21588.90149,Oldtown/Middle East,24190.73777,24585968.23,23866.32818
42,Orangeville/East Highlandtown,38987.53,39874.025,41122.22449,39419.84756,40430.65709,41538.15385,43762.13402,51915.30141,54511.38314,60456.82234,Greektown/Bayview,69139.0668,89894372.21,47825.86293
43,Patterson Park North & East,48889.47,50575.39003,52465.50685,56602.39313,56651.5087,57200.29771,65203.73469,69760.04175,69836.18632,73313.27168,Patterson Park North & East,80327.95796,14507643.2,21786.37466
44,Penn North/Reservoir Hill,27874.43,28502.5356,28724.28219,31316.63803,33263.80992,34879.26347,34231.95767,34873.32682,35011.51843,35095.08967,Penn North/Reservoir Hill,33920.78431,41059796.68,29078.8385
45,Pimlico/Arlington/Hilltop,28815.03,32171.28283,30030.98554,31947.55994,32409.83184,33139.18246,30610.56489,30582.40777,32189.64463,32883.2815,Pimlico/Arlington/Hilltop,34041.74468,30400962.01,24725.93407
46,Poppleton/The Terraces/Hollins Market,22050.03,19183.37368,19277.12274,19026.43191,17228.32783,18755.4064,19974.005,20409.00909,20365.78049,23403.16538,Poppleton/The Terraces/Hollins Market,23373.55828,9302012.999,12334.02753
47,Sandtown-Winchester/Harlem Park,23974.12,23565.15085,24006.3542,24822.40489,24374.125,24108.15256,24696.70059,25208.91343,25972.50171,23551.06958,Sandtown-Winchester/Harlem Park,26689.47685,23672092.87,20987.14331
48,South Baltimore,69812.66,73341.65193,85172.62411,92130.06538,88487.04515,97440.96279,109517.9679,109295.2402,114107.3195,120741.429,South Baltimore,124827.1012,46353935.43,68440.02583
49,Southeastern,30506.03,30864.31308,30968.1162,31152.46407,32102.22848,30838.87329,34040.85833,33777.02222,36666.33333,36377.27551,Southeastern,41980.89626,111251478.5,102291.4805
50,Southern Park Heights,29357.24,27238.60943,26949.47075,24175.19476,26015.22108,26191.54247,26320.15845,24941.37464,24824.13786,27358.50256,Southern Park Heights,30312.4375,27876227.59,24052.22137
51,Southwest Baltimore,28513.85,27751.89251,28085.24141,25198.8992,24946.04449,25151.90331,25678.43571,25427.84234,28149.50402,27176.59809,Southwest Baltimore,29768.27692,37766068.84,28355.56358
52,The Waverlies,34787.35,38732.58667,31385.59239,36086.73913,32651.90854,35686.13725,36383.65179,39098.01744,38569.05349,42464.62326,The Waverlies,43890.35081,20383750.54,18733.82688
53,Upton/Druid Heights,13811.24,13835.21164,14784.61793,15742.60507,15949.56495,17042.11727,19037.65385,20467.69785,21359.04373,21318.79696,Upton/Druid Heights,21530.46308,16976622.34,19389.30782
54,Washington Village/Pigtown,47178.46,44795.42081,44933.22368,48731.13768,48175.04054,47499.5,34785.36752,38851.68852,48273.15476,51593.59063,Pigtown/Carroll Park,48941.51923,39343262.04,36962.26009
55,Westport/Mount Winans/Lakeland,40959.4,42438.53659,42726.72727,42289.96108,41367.65094,40478.62766,41249.75,36645.24051,36974.39496,35923.23874,Westport/Mount Winans/Lakeland,35200.57716,45494092.95,42573.12442
